contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
PLTR251128C00095000,call,2025-11-28,95.0,2025-11-24 17:20:38+00:00,2025-11-24 12:20:38 EST,68.47,0.0,0.0,0.0,0.0,40.0,143,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00100000,call,2025-11-28,100.0,2025-11-24 17:24:46+00:00,2025-11-24 12:24:46 EST,63.55,0.0,0.0,0.0,0.0,43.0,498,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00105000,call,2025-11-28,105.0,2025-11-24 19:31:15+00:00,2025-11-24 14:31:15 EST,59.35,0.0,0.0,0.0,0.0,216.0,405,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00110000,call,2025-11-28,110.0,2025-11-24 20:40:49+00:00,2025-11-24 15:40:49 EST,54.84,0.0,0.0,0.0,0.0,377.0,220,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00115000,call,2025-11-28,115.0,2025-11-24 20:53:59+00:00,2025-11-24 15:53:59 EST,47.85,0.0,0.0,0.0,0.0,21.0,221,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00119000,call,2025-11-28,119.0,2025-11-24 20:55:39+00:00,2025-11-24 15:55:39 EST,43.88,0.0,0.0,0.0,0.0,20.0,17,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00120000,call,2025-11-28,120.0,2025-11-24 20:55:39+00:00,2025-11-24 15:55:39 EST,42.95,0.0,0.0,0.0,0.0,105.0,147,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00121000,call,2025-11-28,121.0,2025-11-24 19:27:44+00:00,2025-11-24 14:27:44 EST,43.35,0.0,0.0,0.0,0.0,9.0,16,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00122000,call,2025-11-28,122.0,2025-11-24 20:45:41+00:00,2025-11-24 15:45:41 EST,42.56,0.0,0.0,0.0,0.0,20.0,19,1.0000000000000003e-05,True,REGULAR,USD
PLTR251128C00123000,call,2025-11-28,123.0,2025-11-24 20:59:39+00:00,2025-11-24 15:59:39 EST,39.31,0.0,0.0,0.0,0.0,16.0,16,1.0000000000000003e-05,True,REGULAR,USD
