contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,tenor_days,snap_date,max_tenor_for_strike,spot_price,relative_strike
AAPL251128C00110000,call,2025-11-28,110.0,2025-11-24 19:05:01+00:00,2025-11-24 14:05:01 EST,166.22,167.95,170.1,0.0,0.0,6.0,12.0,4.92773821533203,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,39.60253316984632
AAPL251128C00120000,call,2025-11-28,120.0,2025-11-05 17:41:07+00:00,2025-11-05 12:41:07 EST,150.8,158.0,160.35,0.0,0.0,,6.0,4.602543309326171,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,43.20276345801416
AAPL251128C00125000,call,2025-11-28,125.0,2025-11-05 17:54:19+00:00,2025-11-05 12:54:19 EST,145.77,152.95,155.15,0.0,0.0,,2.0,4.325199906005858,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,45.002878602098086
AAPL251128C00130000,call,2025-11-28,130.0,2025-11-06 15:22:28+00:00,2025-11-06 10:22:28 EST,141.01,147.95,150.35,0.0,0.0,,5.0,4.194340694580079,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,46.80299374618201
AAPL251128C00135000,call,2025-11-28,135.0,2025-11-24 19:12:33+00:00,2025-11-24 14:12:33 EST,140.97,142.85,145.35,0.0,0.0,1.0,3.0,3.9804687988281247,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,48.60310889026593
AAPL251128C00140000,call,2025-11-28,140.0,2025-11-05 17:45:00+00:00,2025-11-05 12:45:00 EST,130.7,137.95,140.35,0.0,0.0,,8.0,3.830078549804688,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,50.40322403434986
AAPL251128C00145000,call,2025-11-28,145.0,2025-11-24 19:12:33+00:00,2025-11-24 14:12:33 EST,131.03,132.85,135.45,0.0,0.0,1.0,3.0,3.658203979492188,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,52.20333917843377
AAPL251128C00150000,call,2025-11-28,150.0,2025-11-24 20:59:58+00:00,2025-11-24 15:59:58 EST,126.1,127.95,130.4,0.0,0.0,1.0,2.0,3.5039074902343748,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,54.0034543225177
AAPL251128C00155000,call,2025-11-28,155.0,2025-11-24 20:59:58+00:00,2025-11-24 15:59:58 EST,121.16,122.9,125.2,0.0,0.0,1.0,4.0,3.281251796875,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,55.80356946660162
AAPL251128C00160000,call,2025-11-28,160.0,2025-11-05 17:25:01+00:00,2025-11-05 12:25:01 EST,119.39,118.0,120.4,9.479996,8.625235,1.0,10.0,3.19531451171875,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,57.60368461068555
AAPL251128C00170000,call,2025-11-28,170.0,2025-11-21 18:54:04+00:00,2025-11-21 13:54:04 EST,102.86,108.0,110.4,0.0,0.0,2.0,3.0,2.893557453613281,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,61.2039148988534
AAPL251128C00175000,call,2025-11-28,175.0,2025-10-30 16:55:03+00:00,2025-10-30 12:55:03 EDT,96.85,103.0,105.45,0.0,0.0,,1.0,2.7587921655273435,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,63.00403004293732
AAPL251128C00180000,call,2025-11-28,180.0,2025-11-18 14:59:32+00:00,2025-11-18 09:59:32 EST,87.46,98.0,100.15,0.0,0.0,2.0,2.0,2.558597353515625,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,64.80414518702125
AAPL251128C00185000,call,2025-11-28,185.0,2025-11-21 16:16:03+00:00,2025-11-21 11:16:03 EST,85.67,92.9,95.4,0.0,0.0,1.0,5.0,2.4506874670410155,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,66.60426033110515
AAPL251128C00190000,call,2025-11-28,190.0,2025-11-21 15:28:57+00:00,2025-11-21 10:28:57 EST,80.15,88.0,90.15,0.0,0.0,1.0,8.0,2.28906677734375,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,68.40437547518908
AAPL251128C00195000,call,2025-11-28,195.0,2025-11-19 17:21:13+00:00,2025-11-19 12:21:13 EST,75.43,83.0,85.5,0.0,0.0,2.0,5.0,2.2187544531249994,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,70.204490619273
AAPL251128C00200000,call,2025-11-28,200.0,2025-11-21 14:54:16+00:00,2025-11-21 09:54:16 EST,68.77,78.05,80.4,0.0,0.0,10.0,101.0,2.080082924804687,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,72.00460576335693
AAPL251128C00205000,call,2025-11-28,205.0,2025-11-24 14:51:40+00:00,2025-11-24 09:51:40 EST,69.2,73.45,75.5,0.0,0.0,1.0,12.0,2.025395561523437,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,73.80472090744085
AAPL251128C00210000,call,2025-11-28,210.0,2025-11-24 17:57:14+00:00,2025-11-24 12:57:14 EST,69.22,68.2,70.0,3.8099976,5.8247933,1.0,105.0,1.7900401123046876,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,75.60483605152479
AAPL251128C00215000,call,2025-11-28,215.0,2025-11-24 19:14:15+00:00,2025-11-24 14:14:15 EST,63.99,64.0,64.0,2.920002,4.7814016,1.0,61.0,1.6386736816406249,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,77.4049511956087
AAPL251128C00220000,call,2025-11-28,220.0,2025-11-24 19:10:41+00:00,2025-11-24 14:10:41 EST,58.1,58.05,60.15,1.6499977,2.9229367,5.0,180.0,1.5478538232421872,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,79.20506633969264
AAPL251128C00222500,call,2025-11-28,222.5,2025-11-19 15:54:49+00:00,2025-11-19 10:54:49 EST,50.35,55.4,58.0,0.0,0.0,10.0,11.0,1.5146508642578125,True,REGULAR,USD,2,2025-11-25,2,277.760009765625,80.1051239117346
AAPL251128C00225000,call,2025-11-28,225.0,2025-11-24 19:14:15+00:00,2025-11-24 14:14:15 EST,51.13,53.3,55.45,0.0,0.0,1.0,264.0,1.4970728271484377,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,81.00518148377654
AAPL251128C00227500,call,2025-11-28,227.5,2025-11-21 20:30:10+00:00,2025-11-21 15:30:10 EST,44.58,50.4,52.7,0.0,0.0,18.0,18.0,1.3574250878906249,True,REGULAR,USD,2,2025-11-25,2,277.760009765625,81.90523905581851
AAPL251128C00230000,call,2025-11-28,230.0,2025-11-24 17:24:37+00:00,2025-11-24 12:24:37 EST,49.3,48.25,49.8,4.049999,8.950274,2.0,280.0,1.29297228515625,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,82.80529662786047
AAPL251128C00232500,call,2025-11-28,232.5,2025-11-21 20:21:12+00:00,2025-11-21 15:21:12 EST,39.8,45.55,48.0,0.0,0.0,801.0,808.0,1.2934605639648438,True,REGULAR,USD,2,2025-11-25,2,277.760009765625,83.70535419990244
AAPL251128C00235000,call,2025-11-28,235.0,2025-11-25 15:58:20+00:00,2025-11-25 10:58:20 EST,45.25,43.6,44.45,4.0600014,9.856765,10.0,318.0,1.1777384863281248,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,84.60541177194439
AAPL251128C00237500,call,2025-11-28,237.5,2025-11-25 15:02:06+00:00,2025-11-25 10:02:06 EST,41.0,40.5,42.75,3.5299988,9.420866,3.0,224.0,1.142582412109375,True,REGULAR,USD,2,2025-11-25,2,277.760009765625,85.50546934398636
AAPL251128C00240000,call,2025-11-28,240.0,2025-11-25 15:42:59+00:00,2025-11-25 10:42:59 EST,39.05,38.45,39.4,2.6499977,7.280213,23.0,1643.0,1.040043862304688,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,86.40552691602832
AAPL251128C00242500,call,2025-11-28,242.5,2025-11-25 14:56:32+00:00,2025-11-25 09:56:32 EST,36.66,35.5,37.0,2.5999985,7.633583,4.0,61.0,0.9438482177734374,True,REGULAR,USD,2,2025-11-25,2,277.760009765625,87.30558448807028
AAPL251128C00245000,call,2025-11-28,245.0,2025-11-25 15:51:04+00:00,2025-11-25 10:51:04 EST,34.52,33.6,34.5,2.8700008,9.067933,29.0,653.0,0.95312546875,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,88.20564206011224
AAPL251128C00247500,call,2025-11-28,247.5,2025-11-25 15:28:50+00:00,2025-11-25 10:28:50 EST,31.26,30.8,32.8,2.4400005,8.466345,3.0,214.0,0.9423833886718748,True,REGULAR,USD,2,2025-11-25,9,277.760009765625,89.1056996321542
AAPL251128C00250000,call,2025-11-28,250.0,2025-11-25 15:42:02+00:00,2025-11-25 10:42:02 EST,29.3,28.55,29.6,2.2299995,8.2379,24.0,2276.0,0.8422867333984375,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,90.00575720419617
AAPL251128C00252500,call,2025-11-28,252.5,2025-11-25 14:56:32+00:00,2025-11-25 09:56:32 EST,26.71,25.45,27.4,2.9099998,12.2268915,4.0,125.0,0.7568383691406251,True,REGULAR,USD,2,2025-11-25,9,277.760009765625,90.90581477623813
AAPL251128C00255000,call,2025-11-28,255.0,2025-11-25 15:35:42+00:00,2025-11-25 10:35:42 EST,24.36,23.75,24.35,3.3400002,15.889628,173.0,4309.0,0.7216824707031251,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,91.80587234828009
AAPL251128C00257500,call,2025-11-28,257.5,2025-11-25 15:24:02+00:00,2025-11-25 10:24:02 EST,21.43,20.55,23.1,2.58,13.687002,6.0,359.0,0.7058134887695313,True,REGULAR,USD,2,2025-11-25,9,277.760009765625,92.70592992032205
AAPL251128C00260000,call,2025-11-28,260.0,2025-11-25 15:55:44+00:00,2025-11-25 10:55:44 EST,18.97,18.85,19.35,2.8199997,17.461298,200.0,2431.0,0.6110878735351564,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,93.60598749236402
AAPL251128C00262500,call,2025-11-28,262.5,2025-11-25 16:05:24+00:00,2025-11-25 11:05:24 EST,16.55,16.2,16.75,2.7799988,20.188807,58.0,587.0,0.532231240234375,True,REGULAR,USD,2,2025-11-25,9,277.760009765625,94.50604506440598
AAPL251128C00265000,call,2025-11-28,265.0,2025-11-25 16:03:52+00:00,2025-11-25 11:03:52 EST,14.22,13.9,14.2,2.9700003,26.400003,296.0,4590.0,0.5019581054687501,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,95.40610263644793
AAPL251128C00267500,call,2025-11-28,267.5,2025-11-25 15:57:04+00:00,2025-11-25 10:57:04 EST,11.62,11.55,11.85,2.92,33.56322,178.0,2163.0,0.4558159887695313,True,REGULAR,USD,2,2025-11-25,9,277.760009765625,96.3061602084899
AAPL251128C00270000,call,2025-11-28,270.0,2025-11-25 16:01:41+00:00,2025-11-25 11:01:41 EST,9.3,9.15,9.45,2.7800002,42.638042,1918.0,10897.0,0.3989317919921875,True,REGULAR,USD,2,2025-11-25,786,277.760009765625,97.20621778053186
AAPL251128C00272500,call,2025-11-28,272.5,2025-11-25 16:04:56+00:00,2025-11-25 11:04:56 EST,7.12,6.95,7.1,2.42,51.489365,1379.0,8872.0,0.3415593188476562,True,REGULAR,USD,2,2025-11-25,9,277.760009765625,98.10627535257382
AAPL251128C00275000,call,2025-11-28,275.0,2025-11-25 16:05:13+00:00,2025-11-25 11:05:13 EST,4.92,4.9,5.0,2.0,68.49315,8400.0,22492.0,0.2988351367187499,True,REGULAR,USD,2,2025-11-25,751,277.760009765625,99.00633292461578
AAPL251128C00277500,call,2025-11-28,277.5,2025-11-25 16:05:16+00:00,2025-11-25 11:05:16 EST,3.12,3.05,3.1,1.3299999,74.301674,18514.0,30508.0,0.2562330236816406,True,REGULAR,USD,2,2025-11-25,9,277.760009765625,99.90639049665775
AAPL251128C00280000,call,2025-11-28,280.0,2025-11-25 16:06:14+00:00,2025-11-25 11:06:14 EST,1.66,1.7,1.71,0.89,115.58442,78746.0,55097.0,0.2304764453125,False,REGULAR,USD,2,2025-11-25,786,277.760009765625,100.80644806869972
AAPL251128C00282500,call,2025-11-28,282.5,2025-11-25 16:05:55+00:00,2025-11-25 11:05:55 EST,0.77,0.77,0.78,0.43999997,125.71426,59587.0,13609.0,0.2099688378906249,False,REGULAR,USD,2,2025-11-25,9,277.760009765625,101.70650564074167
AAPL251128C00285000,call,2025-11-28,285.0,2025-11-25 16:05:04+00:00,2025-11-25 11:05:04 EST,0.33,0.31,0.33,0.21000001,175.0,28463.0,17333.0,0.2033771069335937,False,REGULAR,USD,2,2025-11-25,751,277.760009765625,102.60656321278363
AAPL251128C00287500,call,2025-11-28,287.5,2025-11-25 16:01:08+00:00,2025-11-25 11:01:08 EST,0.13,0.12,0.14,0.089999996,225.0,18488.0,7655.0,0.2055743505859374,False,REGULAR,USD,2,2025-11-25,9,277.760009765625,103.5066207848256
AAPL251128C00290000,call,2025-11-28,290.0,2025-11-25 16:03:25+00:00,2025-11-25 11:03:25 EST,0.05,0.05,0.06,0.030000001,100.00001,14225.0,8890.0,0.2109453906249999,False,REGULAR,USD,2,2025-11-25,786,277.760009765625,104.40667835686754
AAPL251128C00292500,call,2025-11-28,292.5,2025-11-25 16:05:37+00:00,2025-11-25 11:05:37 EST,0.02,0.02,0.03,0.01,50.0,768.0,2111.0,0.2226640234374999,False,REGULAR,USD,2,2025-11-25,9,277.760009765625,105.30673592890952
AAPL251128C00295000,call,2025-11-28,295.0,2025-11-25 16:00:39+00:00,2025-11-25 11:00:39 EST,0.02,0.01,0.02,0.0,0.0,599.0,5574.0,0.2402419726562499,False,REGULAR,USD,2,2025-11-25,751,277.760009765625,106.20679350095148
AAPL251128C00297500,call,2025-11-28,297.5,2025-11-25 15:09:09+00:00,2025-11-25 10:09:09 EST,0.01,0.0,0.01,0.0,0.0,247.0,516.0,0.2500075,False,REGULAR,USD,2,2025-11-25,9,277.760009765625,107.10685107299345
AAPL251128C00300000,call,2025-11-28,300.0,2025-11-25 15:50:33+00:00,2025-11-25 10:50:33 EST,0.01,0.0,0.02,0.0,0.0,1973.0,4275.0,0.2968820312499999,False,REGULAR,USD,2,2025-11-25,786,277.760009765625,108.0069086450354
AAPL251128C00302500,call,2025-11-28,302.5,2025-11-25 14:43:44+00:00,2025-11-25 09:43:44 EST,0.02,0.0,0.01,0.01,100.0,1.0,389.0,0.304694453125,False,REGULAR,USD,2,2025-11-25,2,277.760009765625,108.90696621707735
AAPL251128C00305000,call,2025-11-28,305.0,2025-11-25 15:32:49+00:00,2025-11-25 10:32:49 EST,0.01,0.0,0.01,0.0,0.0,3.0,1181.0,0.3281317187499999,False,REGULAR,USD,2,2025-11-25,751,277.760009765625,109.80702378911933
AAPL251128C00307500,call,2025-11-28,307.5,2025-11-24 15:48:00+00:00,2025-11-24 10:48:00 EST,0.01,0.0,0.01,0.0,0.0,20.0,65.0,0.3515689843749999,False,REGULAR,USD,2,2025-11-25,2,277.760009765625,110.70708136116127
AAPL251128C00310000,call,2025-11-28,310.0,2025-11-25 15:08:15+00:00,2025-11-25 10:08:15 EST,0.01,0.0,0.01,0.0,0.0,6.0,783.0,0.3828186718749999,False,REGULAR,USD,2,2025-11-25,786,277.760009765625,111.60713893320325
AAPL251128C00312500,call,2025-11-28,312.5,2025-11-19 16:33:09+00:00,2025-11-19 11:33:09 EST,0.01,0.0,0.01,0.0,0.0,16.0,35.0,0.4062559375,False,REGULAR,USD,2,2025-11-25,2,277.760009765625,112.5071965052452
AAPL251128C00315000,call,2025-11-28,315.0,2025-11-25 14:42:51+00:00,2025-11-25 09:42:51 EST,0.01,0.0,0.01,0.0,0.0,1.0,486.0,0.429693203125,False,REGULAR,USD,2,2025-11-25,751,277.760009765625,113.40725407728718
AAPL251128C00317500,call,2025-11-28,317.5,2025-11-14 17:38:51+00:00,2025-11-14 12:38:51 EST,0.02,0.0,0.01,0.0,0.0,,1.0,0.45313046875,False,REGULAR,USD,2,2025-11-25,2,277.760009765625,114.30731164932912
AAPL251128C00320000,call,2025-11-28,320.0,2025-11-21 15:48:59+00:00,2025-11-21 10:48:59 EST,0.01,0.0,0.01,0.0,0.0,70.0,2770.0,0.476567734375,False,REGULAR,USD,2,2025-11-25,786,277.760009765625,115.2073692213711
AAPL251128C00322500,call,2025-11-28,322.5,2025-11-12 16:11:46+00:00,2025-11-12 11:11:46 EST,0.03,0.0,0.01,0.0,0.0,,10.0,0.500005,False,REGULAR,USD,2,2025-11-25,2,277.760009765625,116.10742679341305
AAPL251128C00325000,call,2025-11-28,325.0,2025-11-18 14:34:28+00:00,2025-11-18 09:34:28 EST,0.01,0.0,0.01,0.0,0.0,1.0,343.0,0.500005,False,REGULAR,USD,2,2025-11-25,751,277.760009765625,117.00748436545503
