contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
META251128C00110000,call,2025-11-28,110.0,2025-11-26 15:21:09+00:00,2025-11-26 10:21:09 EST,525.3,533.85,539.25,0.0,0.0,1.0,6,16.02734874145508,True,REGULAR,USD
META251128C00130000,call,2025-11-28,130.0,2025-11-25 15:37:10+00:00,2025-11-25 10:37:10 EST,497.04,513.85,519.85,0.0,0.0,22.0,2,15.39843787597656,True,REGULAR,USD
META251128C00160000,call,2025-11-28,160.0,2025-11-26 15:17:40+00:00,2025-11-26 10:17:40 EST,475.26,483.85,488.55,0.0,0.0,1.0,47,11.410159118652341,True,REGULAR,USD
META251128C00180000,call,2025-11-28,180.0,2025-11-25 15:31:17+00:00,2025-11-25 10:31:17 EST,446.89,461.9,467.4,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD
META251128C00190000,call,2025-11-28,190.0,2025-11-25 15:31:49+00:00,2025-11-25 10:31:49 EST,436.94,453.85,458.6,0.0,0.0,2.0,1,10.160159899902343,True,REGULAR,USD
META251128C00240000,call,2025-11-28,240.0,2025-11-25 15:38:21+00:00,2025-11-25 10:38:21 EST,387.26,401.9,407.8,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
META251128C00250000,call,2025-11-28,250.0,2025-11-26 18:36:21+00:00,2025-11-26 13:36:21 EST,384.64,393.85,398.45,0.0,0.0,2.0,3,7.730469086914063,True,REGULAR,USD
META251128C00260000,call,2025-11-28,260.0,2025-11-26 15:14:52+00:00,2025-11-26 10:14:52 EST,373.8,381.9,387.15,0.0,0.0,2.0,14,1.0000000000000003e-05,True,REGULAR,USD
META251128C00270000,call,2025-11-28,270.0,2025-11-26 15:14:06+00:00,2025-11-26 10:14:06 EST,363.67,373.85,379.25,0.0,0.0,16.0,16,8.15625490234375,True,REGULAR,USD
META251128C00280000,call,2025-11-28,280.0,2025-11-26 15:13:02+00:00,2025-11-26 10:13:02 EST,353.71,361.9,367.45,0.0,0.0,16.0,20,1.0000000000000003e-05,True,REGULAR,USD
META251128C00300000,call,2025-11-28,300.0,2025-11-28 16:18:50+00:00,2025-11-28 11:18:50 EST,344.0,341.9,348.35,9.799988,2.932372,2.0,8,6.1679710400390615,True,REGULAR,USD
META251128C00340000,call,2025-11-28,340.0,2025-11-26 15:05:19+00:00,2025-11-26 10:05:19 EST,293.38,301.9,307.75,0.0,0.0,11.0,20,1.0000000000000003e-05,True,REGULAR,USD
META251128C00350000,call,2025-11-28,350.0,2025-11-26 15:02:07+00:00,2025-11-26 10:02:07 EST,283.42,293.85,299.9,0.0,0.0,2.0,21,6.347658315429687,True,REGULAR,USD
META251128C00360000,call,2025-11-28,360.0,2025-11-25 15:52:36+00:00,2025-11-25 10:52:36 EST,268.12,281.9,286.95,0.0,0.0,3.0,5,1.0000000000000003e-05,True,REGULAR,USD
META251128C00370000,call,2025-11-28,370.0,2025-11-26 14:59:57+00:00,2025-11-26 09:59:57 EST,264.33,273.85,279.45,0.0,0.0,1.0,1,5.583987395019531,True,REGULAR,USD
META251128C00390000,call,2025-11-28,390.0,2025-11-26 14:58:38+00:00,2025-11-26 09:58:38 EST,244.46,253.85,258.45,0.0,0.0,1.0,2,4.335942080078125,True,REGULAR,USD
META251128C00420000,call,2025-11-28,420.0,2025-11-26 14:56:58+00:00,2025-11-26 09:56:58 EST,214.63,221.9,228.35,0.0,0.0,3.0,11,3.6523446191406252,True,REGULAR,USD
META251128C00440000,call,2025-11-28,440.0,2025-11-26 20:46:51+00:00,2025-11-26 15:46:51 EST,194.97,201.9,207.15,0.0,0.0,2.0,28,1.0000000000000003e-05,True,REGULAR,USD
META251128C00450000,call,2025-11-28,450.0,2025-11-26 14:54:11+00:00,2025-11-26 09:54:11 EST,184.53,193.85,199.45,0.0,0.0,2.0,3,3.8447269506835937,True,REGULAR,USD
META251128C00460000,call,2025-11-28,460.0,2025-11-28 17:31:18+00:00,2025-11-28 12:31:18 EST,182.4,183.85,188.55,7.8099976,4.473336,2.0,48,3.1367209082031247,True,REGULAR,USD
META251128C00465000,call,2025-11-28,465.0,2025-11-26 14:50:46+00:00,2025-11-26 09:50:46 EST,169.98,176.9,182.25,0.0,0.0,1.0,24,1.0000000000000003e-05,True,REGULAR,USD
META251128C00475000,call,2025-11-28,475.0,2025-11-26 14:50:46+00:00,2025-11-26 09:50:46 EST,160.04,166.9,172.15,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD
META251128C00480000,call,2025-11-28,480.0,2025-11-26 14:50:07+00:00,2025-11-26 09:50:07 EST,154.97,161.9,167.8,0.0,0.0,3.0,4,1.0000000000000003e-05,True,REGULAR,USD
META251128C00495000,call,2025-11-28,495.0,2025-11-26 14:48:14+00:00,2025-11-26 09:48:14 EST,140.14,146.9,153.6,0.0,0.0,2.0,65,2.5742223144531247,True,REGULAR,USD
META251128C00500000,call,2025-11-28,500.0,2025-11-28 15:19:21+00:00,2025-11-28 10:19:21 EST,141.5,143.85,148.5,3.9299927,2.8567219,6.0,95,2.4277383056640627,True,REGULAR,USD
META251128C00505000,call,2025-11-28,505.0,2025-11-26 14:40:22+00:00,2025-11-26 09:40:22 EST,130.33,136.9,142.65,0.0,0.0,1.0,140,1.0000000000000003e-05,True,REGULAR,USD
META251128C00510000,call,2025-11-28,510.0,2025-11-28 15:35:31+00:00,2025-11-28 10:35:31 EST,131.85,133.85,139.75,6.650009,5.311509,5.0,67,2.798342847900391,True,REGULAR,USD
META251128C00517500,call,2025-11-28,517.5,2025-11-26 14:45:56+00:00,2025-11-26 09:45:56 EST,117.28,124.4,129.35,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
META251128C00527500,call,2025-11-28,527.5,2025-11-26 14:44:00+00:00,2025-11-26 09:44:00 EST,107.4,114.4,119.6,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
META251128C00532500,call,2025-11-28,532.5,2025-11-21 15:11:59+00:00,2025-11-21 10:11:59 EST,55.76,109.4,114.45,0.0,0.0,14.0,16,1.0000000000000003e-05,True,REGULAR,USD
META251128C00537500,call,2025-11-28,537.5,2025-11-25 18:17:28+00:00,2025-11-25 13:17:28 EST,90.7,106.35,112.0,0.0,0.0,1.0,31,2.216801333007812,True,REGULAR,USD
META251128C00545000,call,2025-11-28,545.0,2025-11-25 20:59:49+00:00,2025-11-25 15:59:49 EST,91.91,98.85,104.3,0.0,0.0,18.0,25,2.02344244140625,True,REGULAR,USD
META251128C00550000,call,2025-11-28,550.0,2025-11-28 17:45:45+00:00,2025-11-28 12:45:45 EST,94.97,92.9,97.0,15.970001,20.21519,20.0,74,1.0000000000000003e-05,True,REGULAR,USD
META251128C00555000,call,2025-11-28,555.0,2025-11-28 17:33:01+00:00,2025-11-28 12:33:01 EST,89.67,86.9,92.6,19.119995,27.101337,1.0,56,1.0000000000000003e-05,True,REGULAR,USD
META251128C00560000,call,2025-11-28,560.0,2025-11-28 17:39:23+00:00,2025-11-28 12:39:23 EST,85.15,83.85,89.1,10.370003,13.867349,22.0,154,1.705079599609375,True,REGULAR,USD
META251128C00562500,call,2025-11-28,562.5,2025-11-26 19:31:19+00:00,2025-11-26 14:31:19 EST,71.84,81.35,86.75,0.0,0.0,29.0,30,1.7055678784179689,True,REGULAR,USD
META251128C00567500,call,2025-11-28,567.5,2025-11-26 19:28:22+00:00,2025-11-26 14:28:22 EST,66.83,74.4,80.35,0.0,0.0,112.0,112,1.0000000000000003e-05,True,REGULAR,USD
META251128C00575000,call,2025-11-28,575.0,2025-11-28 17:31:14+00:00,2025-11-28 12:31:14 EST,70.05,68.55,73.75,9.050003,14.83607,5.0,192,1.3476595117187498,True,REGULAR,USD
META251128C00577500,call,2025-11-28,577.5,2025-11-26 16:39:15+00:00,2025-11-26 11:39:15 EST,60.41,64.4,69.55,0.0,0.0,1.0,68,1.0000000000000003e-05,True,REGULAR,USD
META251128C00585000,call,2025-11-28,585.0,2025-11-28 17:40:49+00:00,2025-11-28 12:40:49 EST,59.72,58.85,61.65,10.490002,21.30815,48.0,890,1.0000000000000003e-05,True,REGULAR,USD
META251128C00587500,call,2025-11-28,587.5,2025-11-28 17:58:52+00:00,2025-11-28 12:58:52 EST,60.4,59.6,61.6,13.400002,28.510643,66.0,584,0.8632826171875,True,REGULAR,USD
META251128C00590000,call,2025-11-28,590.0,2025-11-28 17:20:41+00:00,2025-11-28 12:20:41 EST,55.91,53.3,58.95,11.66,26.350285,53.0,1559,1.1611370068359377,True,REGULAR,USD
META251128C00595000,call,2025-11-28,595.0,2025-11-28 17:58:29+00:00,2025-11-28 12:58:29 EST,51.07,49.65,53.85,11.869999,30.280607,72.0,2331,1.052739111328125,True,REGULAR,USD
META251128C00597500,call,2025-11-28,597.5,2025-11-28 17:31:06+00:00,2025-11-28 12:31:06 EST,47.97,46.5,48.8,11.220001,30.530617,96.0,673,1.0000000000000003e-05,True,REGULAR,USD
