contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251128C00110000,call,2025-11-28,110.0,2025-11-26 19:51:56+00:00,2025-11-26 14:51:56 EST,168.25,165.95,169.3,2.0299988,1.2212722,1.0,12.0,4.718754101562499,True,REGULAR,USD
AAPL251128C00120000,call,2025-11-28,120.0,2025-11-05 17:41:07+00:00,2025-11-05 12:41:07 EST,150.8,156.45,159.2,0.0,0.0,,6.0,5.011722485351562,True,REGULAR,USD
AAPL251128C00125000,call,2025-11-28,125.0,2025-11-26 17:55:06+00:00,2025-11-26 12:55:06 EST,153.85,150.9,154.3,8.080002,5.5429797,4.0,2.0,3.93750015625,True,REGULAR,USD
AAPL251128C00130000,call,2025-11-28,130.0,2025-11-06 15:22:28+00:00,2025-11-06 10:22:28 EST,141.01,146.45,149.3,0.0,0.0,,5.0,4.675785405273437,True,REGULAR,USD
AAPL251128C00135000,call,2025-11-28,135.0,2025-11-26 15:29:49+00:00,2025-11-26 10:29:49 EST,142.25,140.9,144.3,-0.8899994,-0.6217685,2.0,4.0,3.5781260546875,True,REGULAR,USD
AAPL251128C00140000,call,2025-11-28,140.0,2025-11-05 17:45:00+00:00,2025-11-05 12:45:00 EST,130.7,136.45,139.2,0.0,0.0,,8.0,4.160161049804687,True,REGULAR,USD
AAPL251128C00145000,call,2025-11-28,145.0,2025-11-24 19:12:33+00:00,2025-11-24 14:12:33 EST,131.03,131.45,134.2,0.0,0.0,1.0,3.0,3.9648438378906246,True,REGULAR,USD
AAPL251128C00150000,call,2025-11-28,150.0,2025-11-24 20:59:58+00:00,2025-11-24 15:59:58 EST,126.1,126.45,129.2,0.0,0.0,2.0,2.0,3.7734380664062503,True,REGULAR,USD
AAPL251128C00155000,call,2025-11-28,155.0,2025-11-25 19:22:52+00:00,2025-11-25 14:22:52 EST,123.69,121.45,124.2,0.0,0.0,2.0,4.0,3.593751015625,True,REGULAR,USD
AAPL251128C00160000,call,2025-11-28,160.0,2025-11-26 14:33:16+00:00,2025-11-26 09:33:16 EST,118.14,116.55,119.2,-1.25,-1.0469888,1.0,11.0,3.4980481298828128,True,REGULAR,USD
AAPL251128C00170000,call,2025-11-28,170.0,2025-11-26 16:23:34+00:00,2025-11-26 11:23:34 EST,108.41,106.45,109.3,5.550003,5.395686,2.0,3.0,3.1523458691406248,True,REGULAR,USD
AAPL251128C00175000,call,2025-11-28,175.0,2025-10-30 16:55:03+00:00,2025-10-30 12:55:03 EDT,96.85,101.45,104.25,0.0,0.0,,1.0,2.949221376953125,True,REGULAR,USD
AAPL251128C00180000,call,2025-11-28,180.0,2025-11-26 15:15:53+00:00,2025-11-26 10:15:53 EST,97.26,96.5,99.3,9.800003,11.205126,2.0,2.0,2.8554716113281247,True,REGULAR,USD
AAPL251128C00185000,call,2025-11-28,185.0,2025-11-26 15:16:15+00:00,2025-11-26 10:16:15 EST,92.27,92.05,94.25,6.5999985,7.7039785,2.0,5.0,2.9433620166015624,True,REGULAR,USD
AAPL251128C00190000,call,2025-11-28,190.0,2025-11-21 15:28:57+00:00,2025-11-21 10:28:57 EST,80.15,86.5,89.3,0.0,0.0,1.0,8.0,2.5390661523437497,True,REGULAR,USD
