contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,tenor_days,snap_date,max_tenor_for_strike,spot_price,relative_strike
TSM251128C00155000,call,2025-11-28,155.0,2025-11-25 20:01:18+00:00,2025-11-25 15:01:18 EST,128.32,137.0,137.9,0.0,0.0,2.0,4,3.589844775390625,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,53.45565063034336
TSM251128C00160000,call,2025-11-28,160.0,2025-11-26 16:25:19+00:00,2025-11-26 11:25:19 EST,131.5,132.05,133.0,8.169998,6.6245017,3.0,32,3.4892590893554685,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,55.18002645712862
TSM251128C00165000,call,2025-11-28,165.0,2025-11-26 16:08:49+00:00,2025-11-26 11:08:49 EST,126.18,127.05,128.0,8.260002,7.004751,1.0,16,3.3310563598632807,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,56.90440228391389
TSM251128C00170000,call,2025-11-28,170.0,2025-11-24 17:31:41+00:00,2025-11-24 12:31:41 EST,112.93,122.05,122.9,0.0,0.0,2.0,12,3.1406271484375,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,58.628778110699166
TSM251128C00175000,call,2025-11-28,175.0,2025-11-26 17:35:36+00:00,2025-11-26 12:35:36 EST,117.02,117.05,118.0,-7.100006,-5.7202754,2.0,4,3.027346181640625,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,60.35315393748443
TSM251128C00180000,call,2025-11-28,180.0,2025-11-26 17:35:36+00:00,2025-11-26 12:35:36 EST,112.03,112.05,113.0,7.290001,6.960093,4.0,21,2.880862172851563,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,62.0775297642697
TSM251128C00185000,call,2025-11-28,185.0,2025-11-26 19:49:20+00:00,2025-11-26 14:49:20 EST,107.1,107.05,108.0,7.3499985,7.3684196,4.0,4,2.739260964355469,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,63.80190559105496
TSM251128C00190000,call,2025-11-28,190.0,2025-11-26 19:49:20+00:00,2025-11-26 14:49:20 EST,102.14,102.05,103.0,23.669998,30.16439,2.0,1,2.599612875976563,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,65.52628141784024
TSM251128C00200000,call,2025-11-28,200.0,2025-11-26 18:37:04+00:00,2025-11-26 13:37:04 EST,91.88,92.05,93.0,13.129997,16.673014,3.0,4,2.3310588598632807,True,REGULAR,USD,1,2025-11-26,785,289.9599914550781,68.97503307141078
TSM251128C00205000,call,2025-11-28,205.0,2025-11-26 17:31:29+00:00,2025-11-26 12:31:29 EST,86.72,87.05,88.0,9.75,12.667273,2.0,1,2.201176372070312,True,REGULAR,USD,1,2025-11-26,29,289.9599914550781,70.69940889819605
