contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,tenor_days,snap_date,max_tenor_for_strike,spot_price,relative_strike
GOOG251205C00130000,call,2025-12-05,130.0,2025-12-01 14:36:27+00:00,2025-12-01 09:36:27 EST,188.5,185.2,188.2,0.0,0.0,1.0,5,4.277348403320312,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,41.136638351815094
GOOG251205C00135000,call,2025-12-05,135.0,2025-12-02 17:06:35+00:00,2025-12-02 12:06:35 EST,180.02,180.2,183.1,-2.3300018,-1.2777635,1.0,37,4.067387728271484,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,42.71881674996183
GOOG251205C00145000,call,2025-12-05,145.0,2025-12-02 17:06:35+00:00,2025-12-02 12:06:35 EST,170.09,170.2,173.1,-2.3300018,-1.3513525,11.0,47,3.753906865234376,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,45.8831735462553
GOOG251205C00150000,call,2025-12-05,150.0,2025-12-02 15:15:56+00:00,2025-12-02 10:15:56 EST,167.6,165.2,168.05,0.21000671,0.12545954,2.0,303,3.58593853515625,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,47.46535194440204
GOOG251205C00155000,call,2025-12-05,155.0,2025-11-26 16:11:15+00:00,2025-11-26 11:11:15 EST,164.91,160.2,162.95,0.0,0.0,11.0,12,3.404298364257812,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,49.04753034254877
GOOG251205C00160000,call,2025-12-05,160.0,2025-12-01 15:25:04+00:00,2025-12-01 10:25:04 EST,157.46,155.2,157.85,0.0,0.0,2.0,6,3.2265644335937496,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,50.6297087406955
GOOG251205C00165000,call,2025-12-05,165.0,2025-11-25 14:41:59+00:00,2025-11-25 09:41:59 EST,161.83,150.2,153.1,0.0,0.0,1.0,1,3.189455151367187,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,52.211887138842236
GOOG251205C00170000,call,2025-12-05,170.0,2025-12-02 15:13:23+00:00,2025-12-02 10:13:23 EST,147.08,145.25,148.2,-1.5699921,-1.0561669,3.0,10,3.107424106445312,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,53.79406553698898
GOOG251205C00180000,call,2025-12-05,180.0,2025-11-28 14:44:11+00:00,2025-11-28 09:44:11 EST,144.33,135.25,137.85,0.0,0.0,10.0,12,2.740237524414063,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,56.95842233328244
GOOG251205C00185000,call,2025-12-05,185.0,2025-12-02 20:16:05+00:00,2025-12-02 15:16:05 EST,131.55,130.25,132.85,-1.3600006,-1.0128849,2.0,18,2.6220737573242188,True,REGULAR,USD,2,2025-12-02,779,316.0199890136719,58.54060073142917
