ticker,lower,upper,max_tenor_for_strike
PLTR,0.0,25.0,742
PLTR,25.0,35.0,742
PLTR,35.0,45.0,777
PLTR,45.0,55.0,777
PLTR,55.0,65.0,777
PLTR,65.0,75.0,777
PLTR,75.0,85.0,777
PLTR,85.0,95.0,777
PLTR,95.0,105.0,777
PLTR,105.0,115.0,777
PLTR,115.0,125.0,777
PLTR,125.0,135.0,777
PLTR,135.0,145.0,777
PLTR,145.0,155.0,777
PLTR,155.0,165.0,777
PLTR,165.0,175.0,777
PLTR,175.0,9999.0,777
