contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AMZN251128C00120000,call,2025-11-28,120.0,2025-11-24 20:04:21+00:00,2025-11-24 15:04:21 EST,106.7,106.05,109.2,0.0,0.0,20.0,64.0,3.8134770288085935,True,REGULAR,USD
AMZN251128C00125000,call,2025-11-28,125.0,2025-11-17 20:06:35+00:00,2025-11-17 15:06:35 EST,106.34,101.1,104.5,0.0,0.0,1.0,3.0,2.3359416601562493,True,REGULAR,USD
AMZN251128C00130000,call,2025-11-28,130.0,2025-11-24 20:41:49+00:00,2025-11-24 15:41:49 EST,96.44,96.1,99.2,0.0,0.0,4.0,11.0,3.4013686840820307,True,REGULAR,USD
AMZN251128C00135000,call,2025-11-28,135.0,2025-11-24 15:38:54+00:00,2025-11-24 10:38:54 EST,91.15,91.1,94.2,0.0,0.0,5.0,24.0,3.206056672363281,True,REGULAR,USD
AMZN251128C00140000,call,2025-11-28,140.0,2025-11-25 15:03:49+00:00,2025-11-25 10:03:49 EST,86.5,87.6,87.8,5.6500015,6.9882517,6.0,14.0,1.9296878515625,True,REGULAR,USD
AMZN251128C00145000,call,2025-11-28,145.0,2025-11-24 18:06:29+00:00,2025-11-24 13:06:29 EST,80.1,82.35,82.65,-0.15000153,-0.18691778,1.0,11.0,1.0000000000000003e-05,True,REGULAR,USD
AMZN251128C00150000,call,2025-11-28,150.0,2025-11-25 15:30:32+00:00,2025-11-25 10:30:32 EST,77.2,77.55,77.8,0.8499985,1.1132921,26.0,67.0,1.6796891015625,True,REGULAR,USD
AMZN251128C00155000,call,2025-11-28,155.0,2025-11-24 20:53:00+00:00,2025-11-24 15:53:00 EST,71.2,72.6,72.85,0.0,0.0,4.0,8.0,1.3125034374999998,True,REGULAR,USD
AMZN251128C00160000,call,2025-11-28,160.0,2025-11-25 14:44:12+00:00,2025-11-25 09:44:12 EST,64.05,67.45,67.7,-1.8499985,-2.8072815,9.0,76.0,1.0000000000000003e-05,True,REGULAR,USD
AMZN251128C00165000,call,2025-11-28,165.0,2025-11-24 20:14:20+00:00,2025-11-24 15:14:20 EST,61.65,62.65,62.9,0.0,0.0,12.0,31.0,1.2812535937499998,True,REGULAR,USD
AMZN251128C00170000,call,2025-11-28,170.0,2025-11-24 18:38:48+00:00,2025-11-24 13:38:48 EST,55.03,57.65,57.85,0.0,0.0,2.0,32.0,1.11328568359375,True,REGULAR,USD
AMZN251128C00175000,call,2025-11-28,175.0,2025-11-24 20:53:30+00:00,2025-11-24 15:53:30 EST,51.6,52.65,52.85,0.0,0.0,8.0,24.0,1.015629921875,True,REGULAR,USD
AMZN251128C00180000,call,2025-11-28,180.0,2025-11-24 20:53:40+00:00,2025-11-24 15:53:40 EST,46.8,47.55,47.8,0.0,0.0,13.0,140.0,1.0058643457031249,True,REGULAR,USD
AMZN251128C00185000,call,2025-11-28,185.0,2025-11-25 15:14:55+00:00,2025-11-25 10:14:55 EST,42.28,42.65,42.85,1.1800003,2.871047,1.0,87.0,0.8203142968749999,True,REGULAR,USD
AMZN251128C00190000,call,2025-11-28,190.0,2025-11-25 15:15:22+00:00,2025-11-25 10:15:22 EST,37.33,37.45,37.65,2.1500015,6.111431,2.0,104.0,1.0000000000000003e-05,True,REGULAR,USD
AMZN251128C00192500,call,2025-11-28,192.5,2025-11-21 20:59:46+00:00,2025-11-21 15:59:46 EST,28.45,35.2,35.4,0.0,0.0,44.0,23.0,0.7500025,True,REGULAR,USD
AMZN251128C00195000,call,2025-11-28,195.0,2025-11-25 14:30:09+00:00,2025-11-25 09:30:09 EST,32.06,32.6,32.85,0.3600006,1.1356486,1.0,99.0,0.5742230078125,True,REGULAR,USD
AMZN251128C00197500,call,2025-11-28,197.5,2025-11-21 17:35:14+00:00,2025-11-21 12:35:14 EST,22.93,30.15,30.4,0.0,0.0,5.0,10.0,0.6210975390625001,True,REGULAR,USD
AMZN251128C00200000,call,2025-11-28,200.0,2025-11-25 15:33:42+00:00,2025-11-25 10:33:42 EST,27.0,27.7,27.9,0.8999996,3.4482744,6.0,1409.0,0.5996133789062501,True,REGULAR,USD
AMZN251128C00202500,call,2025-11-28,202.5,2025-11-24 19:29:46+00:00,2025-11-24 14:29:46 EST,23.75,25.2,25.35,0.10000038,0.4228346,4.0,77.0,0.52539537109375,True,REGULAR,USD
AMZN251128C00205000,call,2025-11-28,205.0,2025-11-25 15:08:15+00:00,2025-11-25 10:08:15 EST,22.6,22.7,22.95,0.8999996,4.1474633,1.0,424.0,0.5195360546875,True,REGULAR,USD
AMZN251128C00207500,call,2025-11-28,207.5,2025-11-25 14:59:51+00:00,2025-11-25 09:59:51 EST,19.4,20.25,20.45,0.14999962,0.7792188,6.0,1905.0,0.534184345703125,True,REGULAR,USD
AMZN251128C00210000,call,2025-11-28,210.0,2025-11-25 16:00:38+00:00,2025-11-25 11:00:38 EST,17.69,17.75,17.95,0.59000015,3.4502933,63.0,1793.0,0.47852083984375,True,REGULAR,USD
AMZN251128C00212500,call,2025-11-28,212.5,2025-11-24 20:36:30+00:00,2025-11-24 15:36:30 EST,14.4,15.2,15.45,0.0,0.0,136.0,543.0,0.42188078125,True,REGULAR,USD
AMZN251128C00215000,call,2025-11-28,215.0,2025-11-25 15:27:24+00:00,2025-11-25 10:27:24 EST,12.0,12.8,13.0,-0.14999962,-1.2345648,282.0,1142.0,0.3803772900390625,True,REGULAR,USD
AMZN251128C00217500,call,2025-11-28,217.5,2025-11-25 15:34:44+00:00,2025-11-25 10:34:44 EST,9.78,10.45,10.6,-0.07000065,-0.7106665,78.0,1809.0,0.3461979443359374,True,REGULAR,USD
