ticker,lower_strike,upper_strike,max_relative_strike
MSFT,0.0,25.0,
MSFT,25.0,35.0,
MSFT,35.0,45.0,
MSFT,45.0,55.0,
MSFT,55.0,65.0,
MSFT,65.0,75.0,
MSFT,75.0,85.0,
MSFT,85.0,95.0,
MSFT,95.0,105.0,
MSFT,105.0,115.0,
MSFT,115.0,125.0,
MSFT,125.0,135.0,27.430222234356656
MSFT,135.0,145.0,29.54023932930717
MSFT,145.0,155.0,31.65025642425768
MSFT,155.0,165.0,33.76027351920819
MSFT,165.0,175.0,35.8702906141587
MSFT,175.0,9999.0,168.80136759604093
