contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
META251205C00100000,call,2025-12-05,100.0,2025-12-03 20:05:41+00:00,2025-12-03 15:05:41 EST,544.75,559.1,562.05,0.0,0.0,9.0,49,11.585940258789064,True,REGULAR,USD
META251205C00110000,call,2025-12-05,110.0,2025-12-03 16:20:57+00:00,2025-12-03 11:20:57 EST,534.18,549.1,552.3,0.0,0.0,4.0,12,11.355471652832033,True,REGULAR,USD
META251205C00120000,call,2025-12-05,120.0,2025-12-03 14:51:17+00:00,2025-12-03 09:51:17 EST,544.19,539.4,544.15,14.970032,2.8286974,1.0,3,10.015628740234376,True,REGULAR,USD
META251205C00130000,call,2025-12-05,130.0,2025-12-01 16:55:02+00:00,2025-12-01 11:55:02 EST,513.74,529.4,535.1,0.0,0.0,,1,10.23828485107422,True,REGULAR,USD
META251205C00140000,call,2025-12-05,140.0,2025-12-01 16:55:56+00:00,2025-12-01 11:55:56 EST,503.58,519.2,525.45,0.0,0.0,,1,9.865238209228517,True,REGULAR,USD
META251205C00150000,call,2025-12-05,150.0,2025-12-01 16:57:05+00:00,2025-12-01 11:57:05 EST,493.56,509.1,515.3,0.0,0.0,,1,9.29492606567383,True,REGULAR,USD
META251205C00160000,call,2025-12-05,160.0,2025-12-01 16:57:44+00:00,2025-12-01 11:57:44 EST,483.08,498.9,505.35,0.0,0.0,,2,8.816410739746093,True,REGULAR,USD
META251205C00170000,call,2025-12-05,170.0,2025-12-01 16:59:01+00:00,2025-12-01 11:59:01 EST,473.18,488.9,495.35,0.0,0.0,,2,8.451176593017577,True,REGULAR,USD
META251205C00180000,call,2025-12-05,180.0,2025-12-03 14:53:00+00:00,2025-12-03 09:53:00 EST,467.15,478.9,485.5,0.0,0.0,1.0,3,8.1875048828125,True,REGULAR,USD
META251205C00190000,call,2025-12-05,190.0,2025-12-03 14:53:00+00:00,2025-12-03 09:53:00 EST,457.21,469.0,474.9,0.0,0.0,1.0,1,7.5937505078125005,True,REGULAR,USD
META251205C00200000,call,2025-12-05,200.0,2025-12-04 14:55:50+00:00,2025-12-04 09:55:50 EST,461.6,459.1,464.2,21.640015,4.9186325,9.0,21,6.910157612304687,True,REGULAR,USD
META251205C00210000,call,2025-12-05,210.0,2025-12-04 14:55:50+00:00,2025-12-04 09:55:50 EST,451.6,448.9,454.35,21.630005,5.030585,9.0,20,6.605470493164063,True,REGULAR,USD
META251205C00220000,call,2025-12-05,220.0,2025-12-02 20:44:56+00:00,2025-12-02 15:44:56 EST,427.36,439.6,445.55,0.0,0.0,11.0,9,7.283204020996094,True,REGULAR,USD
META251205C00230000,call,2025-12-05,230.0,2025-12-02 20:43:51+00:00,2025-12-02 15:43:51 EST,417.3,429.45,435.6,0.0,0.0,12.0,9,6.970704411621094,True,REGULAR,USD
META251205C00240000,call,2025-12-05,240.0,2025-12-02 20:40:49+00:00,2025-12-02 15:40:49 EST,407.41,419.6,425.0,0.0,0.0,3.0,2,6.541017448730469,True,REGULAR,USD
META251205C00250000,call,2025-12-05,250.0,2025-12-02 20:40:15+00:00,2025-12-02 15:40:15 EST,397.42,409.15,414.95,0.0,0.0,6.0,4,6.093752382812499,True,REGULAR,USD
META251205C00260000,call,2025-12-05,260.0,2025-12-02 20:39:31+00:00,2025-12-02 15:39:31 EST,390.42,399.55,405.6,0.0,0.0,6.0,4,6.248049064941406,True,REGULAR,USD
META251205C00270000,call,2025-12-05,270.0,2025-12-02 20:38:08+00:00,2025-12-02 15:38:08 EST,377.41,389.75,395.65,0.0,0.0,2.0,1,6.089846137695313,True,REGULAR,USD
META251205C00280000,call,2025-12-05,280.0,2025-12-02 20:37:35+00:00,2025-12-02 15:37:35 EST,367.36,379.45,385.15,0.0,0.0,4.0,2,5.614260794677733,True,REGULAR,USD
META251205C00290000,call,2025-12-05,290.0,2025-12-02 20:37:04+00:00,2025-12-02 15:37:04 EST,357.41,369.3,375.65,0.0,0.0,4.0,2,5.513674982910156,True,REGULAR,USD
META251205C00300000,call,2025-12-05,300.0,2025-12-04 19:39:38+00:00,2025-12-04 14:39:38 EST,362.5,359.15,365.4,18.399994,5.347281,3.0,8,5.183597270507812,True,REGULAR,USD
META251205C00310000,call,2025-12-05,310.0,2025-12-04 15:26:47+00:00,2025-12-04 10:26:47 EST,353.57,348.95,354.2,18.920013,5.653672,17.0,19,4.4257857177734365,True,REGULAR,USD
META251205C00320000,call,2025-12-05,320.0,2025-12-04 15:26:47+00:00,2025-12-04 10:26:47 EST,343.57,339.0,344.2,18.309998,5.6293416,17.0,26,4.2812546484375,True,REGULAR,USD
